number,value,datetime_start,datetime_complete,duration,params_ema_span,params_gamma,params_imbalance_skew_factor,params_inventory_skew_factor,params_k,params_max_drawdown_pct,params_max_inventory_lots,params_range_spread_multiplier,params_tau,params_trend_size_multiplier,params_trend_spread_multiplier,state
10,-0.1926206358066033,2026-07-19 20:27:08.423721,2026-07-19 20:27:09.186949,0 days 00:00:00.763228,50,0.19321671435576382,0.14905621107980804,0.5307779239123438,3.0148290421586026,0.14545235227533274,2,0.5112279042953478,1.9543056661817984,0.5382010600155795,2.8153295905650353,PRUNED
11,-4.706946746881998,2026-07-19 20:27:09.187700,2026-07-19 20:27:10.021524,0 days 00:00:00.833824,23,0.13093310334961422,1.0363183313286373,2.8814994548698847,4.875763160047734,0.03175482714749384,2,0.9527774679537904,1.7325429998751576,0.38017613247956294,1.0280014864721165,COMPLETE
12,-3.001329523998462,2026-07-19 20:27:10.022356,2026-07-19 20:27:10.741606,0 days 00:00:00.719250,23,0.15553459485427487,1.7434062017510192,1.7268444864544643,4.791943624287194,0.030515214389451463,2,1.1920420514949706,1.55174389309064,0.7549008711132706,2.4239556044268236,COMPLETE
13,-3.455661690483402,2026-07-19 20:27:10.742291,2026-07-19 20:27:11.612175,0 days 00:00:00.869884,50,0.3187922586406953,0.8848737344892257,0.6808507072337178,4.090976910855575,0.0647267633326008,1,0.634651915011877,1.9967717522448747,0.5055226397341319,2.4478136360553195,COMPLETE
14,-0.39756897423289156,2026-07-19 20:27:11.612891,2026-07-19 20:27:11.923985,0 days 00:00:00.311094,23,0.08028836717487803,0.28316848330470257,1.5433764940861279,4.961561557566805,0.0453464981103973,2,0.9220817465856628,1.369349074199097,0.314050745840348,1.0925096481927103,PRUNED
15,-0.28758636493132833,2026-07-19 20:27:11.924750,2026-07-19 20:27:12.524373,0 days 00:00:00.599623,41,0.06823849970527325,1.3592042221682774,2.424583195354827,3.7554778688115733,0.07368650324711366,1,0.668267410546119,1.6985580325199299,0.889372525522115,2.4686215139989978,PRUNED
16,-2.479019270562887,2026-07-19 20:27:12.525082,2026-07-19 20:27:13.356153,0 days 00:00:00.831071,28,0.3444694757524713,0.4087139267241242,1.8455880880425246,4.493603423560909,0.03862877337705842,2,1.175662762515436,1.2489256491805076,0.508562664275836,2.9771336874887457,COMPLETE
17,-2.424860398276694,2026-07-19 20:27:13.356789,2026-07-19 20:27:14.139128,0 days 00:00:00.782339,28,0.37623143641088647,0.40697666508370955,1.3035112222958796,3.4379810118764915,0.03916946592682943,1,1.1938940373005194,1.2020373946271201,0.5207729901217997,2.9794324840697772,COMPLETE
18,-0.3380263298069075,2026-07-19 20:27:14.139908,2026-07-19 20:27:14.874692,0 days 00:00:00.734784,45,0.4080771198864111,0.3933508837486102,1.3218222719798893,3.494120788909297,0.07863442461056494,1,0.9478898003867213,1.037795402666283,0.6138820521712535,2.6409382455121486,PRUNED
19,-2.840744462883979,2026-07-19 20:27:14.884924,2026-07-19 20:27:15.690579,0 days 00:00:00.805655,18,0.23053549051967337,0.029053023550750512,0.8556787598891653,1.2350346839149702,0.056772487958657254,1,0.5739697287418186,1.8155361545863562,0.7191485377107294,2.1768333104608413,COMPLETE
20,-0.271093725387921,2026-07-19 20:27:15.691423,2026-07-19 20:27:16.176737,0 days 00:00:00.485314,29,0.9979361502352416,0.8653570219761622,1.3055527186489895,2.9391863898941075,0.039198013340553436,1,0.8742086146009933,1.251489722852502,0.5790416547118046,2.9949396569619466,PRUNED
21,-3.0125628386167005,2026-07-19 20:27:16.177554,2026-07-19 20:27:17.041792,0 days 00:00:00.864238,27,0.42556667654092295,0.4485978204719463,1.9152450837741806,4.428255985201254,0.03918552329992095,2,1.177427275656511,1.1330616353738032,0.46538459376281466,2.9729321191679654,COMPLETE
22,-2.0329204531075833,2026-07-19 20:27:17.042437,2026-07-19 20:27:17.795021,0 days 00:00:00.752584,39,0.3007931615412611,0.30252750696196795,1.947368927169943,3.756464669190935,0.06021909881418512,1,1.1370035188710892,1.290574544799812,0.4810228961762512,2.670775138808305,COMPLETE
23,-2.988633578115691,2026-07-19 20:27:17.795722,2026-07-19 20:27:18.633096,0 days 00:00:00.837374,45,0.5278005364071611,0.2009082797184244,1.4748844095497768,3.6308156517572074,0.06077836709481925,1,1.12733797200714,1.3603631573209738,0.4422242609261539,2.6846892524359496,COMPLETE
24,-0.3807380936558652,2026-07-19 20:27:18.633900,2026-07-19 20:27:18.921619,0 days 00:00:00.287719,38,0.26312603595937856,0.028917472000040523,0.5260957935664041,3.162551436413479,0.0828583758551086,1,1.0000421749889128,0.9895421398471493,0.3326342701049181,2.3266153289927685,PRUNED
25,-2.725967660490063,2026-07-19 20:27:18.922441,2026-07-19 20:27:19.641004,0 days 00:00:00.718563,45,0.11408598151158941,0.5419143604225729,0.9463169850536847,2.5569911031857524,0.04530978784309227,1,0.7348425944313633,1.454688720908309,0.5748510811827506,2.6293353846868865,COMPLETE
26,-2.3074562378259706,2026-07-19 20:27:19.641734,2026-07-19 20:27:20.486476,0 days 00:00:00.844742,41,0.6616769261995036,0.798837447889666,2.078327584958117,3.9075504352727126,0.06322552890058869,1,1.0184470529461094,1.8175947389131832,0.6597168885841943,2.7710687332454182,COMPLETE
27,-0.07482145425555264,2026-07-19 20:27:20.487147,2026-07-19 20:27:20.954602,0 days 00:00:00.467455,41,0.7134959992051859,0.7653186859544567,2.6303706392517596,3.8186348230189395,0.06373023834095735,1,1.04612167105202,1.8345059223401965,0.6548250269713927,2.257053788803431,PRUNED
28,-0.1767488644075913,2026-07-19 20:27:20.955196,2026-07-19 20:27:21.485358,0 days 00:00:00.530162,47,0.5630356269154835,1.006825349811964,2.109921332723897,4.035899718328643,0.08349817646425015,1,0.9993897101683565,1.8823177275461622,0.7778356590614955,1.9801717381218205,PRUNED
29,-3.673895259100557,2026-07-19 20:27:21.485939,2026-07-19 20:27:22.270866,0 days 00:00:00.784927,38,0.839078648131002,1.2687141785448726,2.4743509373369372,4.4567891183842825,0.07373326743407041,1,1.1145609973948616,1.6243681351989288,0.6979499186361499,2.548380111260988,COMPLETE
30,-0.33973118707849165,2026-07-19 20:27:22.271646,2026-07-19 20:27:22.557600,0 days 00:00:00.285954,42,0.5114594308126634,1.5882348932710428,2.1607743817440968,4.640251300402222,0.04957753702279162,1,0.6442322824944341,1.5618459888332727,0.8604507069253714,2.7669398614063674,PRUNED
31,-3.159140606222924,2026-07-19 20:27:22.558319,2026-07-19 20:27:23.371526,0 days 00:00:00.813207,47,0.2849599092310009,0.2935956996680146,1.9092145426762932,3.3658190008282554,0.05916794172492474,1,1.1316879252945893,1.3604609192681298,0.48530234927363514,2.833065739132488,COMPLETE
32,-0.09734741909346174,2026-07-19 20:27:23.372143,2026-07-19 20:27:23.823692,0 days 00:00:00.451549,31,0.39727765971105405,0.5301886737377269,1.7076987237005814,3.888499211402171,0.04522823651318106,1,1.1474444485808393,1.7117621495533872,0.5645333699887216,2.577026043644695,PRUNED
33,-2.711771703724372,2026-07-19 20:27:23.824244,2026-07-19 20:27:24.552819,0 days 00:00:00.728575,38,0.17405875906594653,0.8383471743701445,0.7754266072603355,3.2474495835645953,0.05414450669970591,1,1.0813620861762692,1.1316085303773045,0.6234881684918819,2.7487419946493454,COMPLETE
